name,tribe
aaliyah,hausa
abdulhamid,hausa
abdulkadir,hausa
abdullahi,hausa
abdurrahim,hausa
abdussalamu,hausa
abubakar,hausa
adamu,hausa
ahmad,hausa
aisha,hausa
a'ishatu,hausa
akilah,hausa
ali,hausa
aliyu,hausa
altine,hausa
amani,hausa
amina,hausa
ango,hausa
asabe,hausa
azumi,hausa
baba,hausa
baiwa,hausa
balaraba,hausa
balarabe,hausa
barau,hausa
bawa,hausa
binta,hausa
dan altine,hausa
dan asabe,hausa
dan azumi,hausa
dan kaka,hausa
danjuma,hausa
danladi,hausa
danlami,hausa
dantala,hausa
dauda,hausa
djamila,hausa
dogo,hausa
elham,hausa
fatimatu,hausa
farah,hausa
faruku,hausa
fatima,hausa
gagarau,hausa
gajere,hausa
gamila,hausa
ganau,hausa
gwaggo,hausa
ha?urau,hausa
hadizatu,hausa
hafizu,hausa
hafsatu,hausa
halilu,hausa
halima,hausa
hamidu,hausa
haruna,hausa
hasan,hausa
hasana,hausa
hauwa,hausa
husaina,hausa
husaini,hausa
ibrahim,hausa
iesha,hausa
isa,hausa
ishtar,hausa
isiyaku,hausa
isma'ilu,hausa
jamila,hausa
jatau,hausa
jibirilu,hausa
jummai,hausa
kaka,hausa
kamaria,hausa
karyme,hausa
kawu,hausa
khadija,hausa
ladi,hausa
lami,hausa
layla,hausa
lila,hausa
lina,hausa
magaji,hausa
magajiya,hausa
mahmudu,hausa
maidaki,hausa
maigado,hausa
maigari,hausa
maikuyau,hausa
maina,hausa
mairiga,hausa
maitama,hausa
maiwada,hausa
malika,hausa
mantau,hausa
maryamu,hausa
masoro,hausa
mohammed,hausa
muhammadu,hausa
muhtari,hausa
musa,hausa
mustapha,hausa
na-allah,hausa
nabila,hausa
nahla,hausa
nashwa,hausa
nasira,hausa
nawra,hausa
niesha,hausa
nuhu,hausa
nura,hausa
qadira,hausa
rahila,hausa
rihanna,hausa
rukayyatu,hausa
sabah,hausa
sabo,hausa
sada,hausa
sadau,hausa
sahar,hausa
sallau,hausa
salma,hausa
sam?ala,hausa
sam?ali,hausa
saratu,hausa
sarki,hausa
shakira,hausa
shanono,hausa
shekarau,hausa
sulemanu,hausa
ta-allah,hausa
takisha,hausa
talatu,hausa
tanimu,hausa
tasalla,hausa
thana,hausa
tunau,hausa
umaru,hausa
usumanu,hausa
uwa,hausa
yakubu,hausa
yadira,hausa
yalwa,hausa
yusufu,hausa
zahra,hausa
zaina,hausa
zainabu,hausa
zeinab,hausa
zubairu,hausa
zahro,hausa
fatimatuzzahra,hausa
artinya,hausa
samad,hausa
zahro,hausa
semarang,hausa
hawwa,hausa
ganzama,hausa
damagun,hausa
fawehinmi,hausa
gadzama,hausa
dantata,hausa
Abaeze,igbo
Achebe,igbo
Adaego,igbo
Adaeze,igbo
Adaku,igbo
Adanna,igbo
Adaobi,igbo
Adaolisa,igbo
Adaugo,igbo
Adaure,igbo
Addana,igbo
Afamefuna,igbo
Ahunna,igbo
Akachukwu,igbo
Akuada,igbo
Akunna,igbo
Amaechi,igbo
Amaka,igbo
Amandi,igbo
amarachi,igbo
Amobi,igbo
Anozie,igbo
Anwuli,igbo
Anwulichukwu,igbo
Anwulika,igbo
Apunanwu,igbo
Arinzechukwu,igbo
Azubuike,igbo
Binyelum,igbo
Bunkechukwu,igbo
Chetachi,igbo
Chetachukwu,igbo
chi,igbo
Chiagozie,igbo
Chiasoka,igbo
Chiazokam,igbo
Chibarameze,igbo
Chibinobim,igbo
chibuenyim,igbo
Chibuike,igbo
Chibundo,igbo
Chibundu,igbo
Chibunna,igbo
Chibuogu,igbo
Chibuzor,igbo
Chichima,igbo
chideraa,igbo
Chidiadi,igbo
Chidiebere,igbo
Chidiebube,igbo
Chidozie,igbo
Chiekezie,igbo
Chiemeka,igbo
Chiemelie,igbo
chinaza,igbo
chukwu,igbo
ebere,igbo
ebereonwu,igbo
emeka,igbo
muna,igbo
ugwumsinachi,igbo
ngozi,igbo
ifunanya,igbo
chimsindi,igbo
simdi,igbo
tochi,igbo
tocukwu,igbo
nna,igbo
nne,igbo
nnenna,igbo
chukwuka,igbo
ozioma,igbo
kachi,igbo
onyedikachi,igbo
okechukwu,igbo
onah,igbo
ihe,igbo
ihemena,igbo
chigozie,igbo
nneka,igbo
mmesoma,igbo
nmesoma,igbo
Abayomrunkoje,yoruba
Abegunde,yoruba
Abeo,yoruba
Abiade,yoruba
Abidugun,yoruba
abimbola,yoruba
Abiodun,yoruba
Abiola,yoruba
Abioye,yoruba
ade,yoruba
Adebamgbe,yoruba
Adebiyi,yoruba
Adedayo,yoruba
Ademola,yoruba
Adeniyi,yoruba
Adepero,yoruba
Adesanya,yoruba
Adeshola,yoruba
Adesola,yoruba
Adetayo,yoruba
Adetokunbo,yoruba
Adetola,yoruba
Adetope,yoruba
